review,assessment
"+красивая, качественная печать, качественые детали +нравится ребенку +кооперативная, т.е играешь в команде с ребенком, что плюс если ребенок остро реагирует на проигрыш кому-то +милый новогодний сюжет-нам выйграть получилось всего раза два из 15-не ясно как дойти до домика: нужно выкинуть выкинуть кубик с последними следом перед домиком? Если да, то елка собирается крайне быстро, тк четыре раза в конце выбросить конкретные следы нереально. Или по умолчанию если после фигурки больше нет следов как выпали на кубике то можно прыгать на домик? -нет смысла в пятой детали елки. Если автоматом выпала елка пятый раз то сразу наступает проигрыш и собирать эту деталь нет смысла. Мы придумали еще звезду, якобы гирлянда загорелась и наступил НГ, так и елка окончательно собрана и немного продлеваем игру., ",1
"3 Д ручки очень интересное увлечение для детей и взрослых. Покупали дочке в подарок на 8 лет, очень хотела она. А тут разочарование... Выполнив все первоначальные действия по инструкции, загрузили пластик для изготовления рисунка и в  момент подачи носик самой ручки стал плавиться. Дочь очень расстроилась! (((( Возврат оформили. Хотим всё же перезаказать данную модель, может то был единичный брак...., ",0
"4 года - буквы вообще учить не хочет, ничем интерес не вызвать. Уже складывать цифры научились до 5, а буквы прям беда. Сели вчера и проиграли весь вечер в это лото. Фишки хорошие, карточек 7 штук и две из них фиолетовые. Думаю - ламинировать имеет смысл. Картон не слишком плотный, и замяться и порваться может., ",1
"Азул — это та самая игрулька, куда мозги можно хорошенько размять. Это все про укладку кафельных плиток на дворцовом полу, только делай это красиво, словно настоящий мастер плиточник. Дело идет так: собрал крутой узор по-хитрому, подбирая плиточки красивого цвета, закончил строку — бац, и они перекочевали на твой игровой лист. Таки да, надо стратегию выстраивать, чекать что соперники намутили и стараться не дать им те самые шикарные комбинации. В коробке Азула ты найдешь эти самые плиточки — они такие яркие, глаз радует, да и на ощупь приятные. Для семейных посиделок или вечеров с друзьями, шикарный выбор. Короче, клади плиточку, считай очки и становись хозяином самого стильного настольного дворца!",1
"Бочонки маленькие, фишки обычный картон. Не понравилось. Покупала в подарок сыну, очень расстроилась, ",0
"Бочонки маленькие, фишки обычный картон. Не понравилось. Покупала в подарок сыну, очень расстроилась, ",0
"Брала игру для себя, играем на работе - счастью нет предела! Мечтала об этой игре с 2010 года и вот - сбылась.
Очень интересные задания, продуманные пути. , ",1
"Брали из этой серии «животные», «фрукты» и ждём ещё буквы, но набор «транспорт» это нечто! В наборе 7 кораблей, если первые 3 это пароходы, то остальные парусники, 2 самосвала, 2 подлодки, 2 трактора, 2 автобуса, 5 машин, 3 паровоза, причём 2 из них зелёных!2 самолета и причём все разноцветные, можно было бы назвать к примеру «желтый самолёт», но нет же нет такого варианта, есть только «желтый с красными крыльями» либо «зелёный с красными крыльями», причём крылья больше самого самолета, а у машин ещё веселее все… данный набор вообще не продуман для детского лото, ну неужели производитель больше транспорта не знает?? Жаль нельзя прикрепить фото.., ",0
"Брали на подарок. Ребенок в восторге и родители тоже. Всем очень понравилась, брали сразу две, эту и соображарий 2, ",1
"Бруски кривые, с классической Дженной не сравнится. 
, ",0
"Бруски кривые, с классической Дженной не сравнится. 
, ",0
"Бруски кривые, с классической Дженной не сравнится. 
, ",0
"Бункер - вообще не стоит своих денег! На один раз, не смешная. Мы в советскую монополию играем снова и снова, а в эту на один раз.",0
