,review,assessment
0,"Игра огонь даже для взрослого. 
Питание переделал вместо 8 батареек на БР 12V DC 200mA. При замере мультиметром реальный ток 300mA. Внутри вентилятор 12v 120mA и 12 светодиодов.
Разъем ответный закреплён на 2 стяжках на торце панели. Держится крепко. Отверстие просверлено в пластике подходящим сверло. Работает. Проверено.
Рекомендую БП 12В 1А с запасом по току., ",True
1,"Купила ребёнку!Играет Рома «27 годиков»?, ",True
2,"Во первых игроки чисто синего и красного цвета, не так как на изображении, что на сайте, что на упаковке. Вводят в заблуждения.  Механический процесс игры ужасен. Во-первых,  все управляющие шарниры расположены под углом, то есть на выходе из хоккейной коробки полностью наружу, палки ударяются друг о друга, точнее руки мешают им управлять, абсолютно криво настолько, что органичной игры не получается. Во-вторых, что вратарь, что игроки повернуты только в одну сторону, ПРИЧЕМ ВСЕ!!!! То есть, защищая одну часть ворот, вратарь стоит задом и отбить достойно шайбу или вывести ее из края(угла) ворот не представляется возможном, дети сами себе постоянно забивают голы. Игроки на флангах тоже бьют задом, причем там клюшка совсем по другому выглядит и плохо управляется с шайбой. В углах поля есть мертвая зона, если шайба встает на ребро то клюшкой не зацепить.  Поле прогибается по напором резкой игры, просто вваливается. Руки оторвать тем, кто это придумал и по лицу. Ужас! Стыд! Сам из Советского Союза, есть с чем сравнить и у меня еще тогда был хоккей в разы лучше. Но технологии тогда и оборудование и сейчас, небо и земля. Из серии""Ракеты по космосам летают, а наш медведям пищалки пришивает"". Делают кустарно. Табло с ведением счета ""выколи глаз"" цифры цвет в цвет самой пластиковой полоски и настолько малы, что когда их двигаешь нужно вставать и всматриваться, чтобы не пролететь и вообще увидеть счет. Не рекомендую., ",False
3,"Покупали для 5летнего ребенка.Пока до полной победы/поражения усидеть не может. В целом задумка неплохая,но есть и недочеты,о которых здесь много уже написано,но производителем не читается)). Слабо закрепляются фишки в полях,если вы придерживаете рукой нижнее поле,то белые/красные фишки могут вылететь(нужно бы двойное дно),с верхнего поля тоже вылетают,чуть пошевелишь чемоданчик.Плохо видны цифры и буквы.Мелкие фишки не считаю недостатком-тренируется мелкая моторика,в том числе и у взрослых., ",True
4,"Вот действительно развивающая игра! Играли в стандартную дженгу, потом пошли строить всё на что фантазии хватило. Поняла что игрушки должны быть максимально простыми, чтобы детям было куда проявить свою фантазию., ",True
5,"Хороший способ научить детей играть в эту великолепную игру. Простые карточки, играли вчетвером: мама, папа, 12 и 6 лет. Маленькому чуть сложновато было, но постепенно понял суть. Конечно приходилось иногда подыгрывать. Теперь хотим карточки посложнее, так как это интереснее., ",True
6,"Купила, чтобы поиграть вечерком. Пока разобрались, пока поиграли и получили потрясные эмоции, на часах оказалась полночь? играли всей семьей(деткам 4,5 года). Вроде были заинтересованы, но боюсь, что они не совсем понимали, что происходит? Нам понравилось, ставлю твердую 5, ",True
7,"Случайно наткнулся на эту игрушку в детском мире. Учитывая вес коробки и цену, решение было принято мгновенно. Несмотря на то что она идёт в разобранном виде, сборка труда не составила. Ключ и отвёртка есть в комплекте, но очень неудобные, прикручивая ручки можно воткнуть себе в палец. Материал корпуса - МДФ разной толщины, направляющие из тонкостенных металлических трубок в азарте немного гнутся. Откровенно не хватает фиксации на столе, хотя бы резиновых ножек. В процессе игры елозит по столу, на маленьком столике норовит свалиться., ",True
8,"Игра простая и веселая, особенно интересно играть большой компанией.Странно, что никто про нее ничего не написал ещё...Суть игры:Всю колоду поровну раздают на всех участников, лицевую сторону закрывают рубашкой от жолтой карты и понеслась.Первый игрок достаёт карту и говорит ассоциацию с картинкой, например на картинке плюшевый медведь - ""это мягкое""… и все начинают искать у себя в карточках тоже что то мягкое на картинках, но искать нужно не раскладывая перед собой картинки, а зажав всю стопку в одной руке, пальцем другой руки пролистывпть карточки.Кто быстрее скинет карты, тот победитель., ",True
9,"Увлекательная настольная игра. Запали и большие и маленькие, ",True
10,"Читая предыдущие отзывы о некомплекте, решили проверить игру в магазине после покупки. Спросили у администратора, если вдруг некомплект, можно ли вернуть обратно-разрешили. Все карточки совпадают с игровым полем, единственный минус-карточка""Перейди на детскую площадку"", в другой комплектации-это ""Арбат"", но решили оставить и просто не пользоваться данной карточкой.Купили игру со скидкой за 1349,качество карточек,банкнот и фигурок-отличное. Другим покупателям на будущее-смотрите год производства игры на упаковке, если он 2020-то все карточки будут совпадать,т.к читая отзывы 2020г у всех покупателей все совпадает, а вот 2019г как раз и есть недочеты. У нас в магазине все были 2019,поэтому и решили купить с таким небольшим браком., ",True
11,"Это просто лучшее, что я покупала в ДМ!!! У нас есть всякое и интерактивные игрушки за 3тыс и на пульте управления, наборы плей до, всего перечислять не буду. Но ни одна из наших игрушек не сравнится с этой за 350 рублей!! Интересно всем! И папе и детям 4года и 5 месяцев. В комплекте две удочки, что позволяет играть вместе. Так же на одну удочку можно поймать 2, а один раз даже получилось 3 уточки. Размер уточек самый раз, что бы было удобно и интересно ловить. Музыка отключается! При этом уточки дальше плавают! Создатели-вы гении!! Самый младший член нашей семьи 5 месяцев использует как эдакий напольный мобиль. Музыка привлекает и не раздразжает. Ещё мы иногда прикалываемся и кладём туда монетки, посторонние игрушки и они тоже двигаются. Устраивали балл на воде, расставляли кукл с привязанной к ноге проаолоке и они ""танцевали"".Спасибище гигантское разработчики!!!!!, ",True
12,"Играем с первоклассником, ответы не все знает. Есть над чем работать ещё) Вопросы на разные темы, например: ""Сколько нужно отнять от 9, чтобы получилось 6?"", "" У белки-летяги есть крылья?"", ""Что изображено на гербе России?"", "" Как называются морские разбойники?"", ""Сколько всего цифр существует?"", "" При какой температуре закипает вода?"", ""Как назвать время 7:40 по-другому?"". Карточки вопросов разделены по уровням сложности и отличаются цветом, можно играть с более младшими детьми, убрав сложные вопросы., ",True
13,"Очень понравилась игра. Ребенку 6 лет интересно играть, взрослым - тоже! Это отличная возможность провести время вместе с ребенком и чтобы всем было интересно и весело. Здорово развивает образное мышление, а ещё сближает) мы в восторге. Большой плюс, что партия длится не очень долго. У нас ушло минут 20. Это очень удобно, ",True
14,"Детям очень понравилась игра. После этих карточек стали спрашивать что это за мультики и просить показать их. Так , через инру, началось наше знакомство советскими мультиками. А то ведь только дисней хотели смотреть. Советские им нудными казались. Спасибо игре., ",True
15,"Искала игру что бы играть с пятилеткой. Но половина карточек либо сложна, либо вообще ребенок не знает значение нарисованного. Зачем тогда ставить такое возрастное ограничение? Написали бы 7+ и игру бы купили ребенку по возрасту! Ведьма, мумия, рубин, юрта, фараон, викинг, щелкунчик, гладиатор, шут, вампир, коралл, компас, банк... И так далее. Словарный запас не по возрасту., ",False
16,"Очень круто, интересно, с удовольствием играли мальчик 38 и декочка 37 лет) Дочка 5 лет играть отказалась, пока, ну подождем., ",True
17,"Добрый день. Скажите, от какого количества батареек работает? Из описания не понятно., ",True
18,"К качеству исполнения игры вопросов нет, на высоте.
Но содержание а именно картинки, не понравились, мне показалось мрачным и где-то давящими на психику.
Не все картинки такие, но из 99 шт больше половины зубастые и мрачные, с синяками под глазами. Своему ребёнку однозначно не буду показывать. Были бы картинки добрее, может какието действия добрые были бы изображены. Посыл мне не понятен. Время все-же с ребёнком нужно проводить с пользой, здесь я её не вижу. , ",False
19,"Грустные, тревожные,печальные картинки. Тема войны, апокалипсиса, злые монстры. Игра отличная. Это наш второй набор. Но именно в него не хочется играть, тем более с ребёнком., ",False
20,"Хочу сказать,что такие игрушки были не только в советском детстве многих, но и теперь выпускаются Омским заводом электротоваров. Можно найти в интернете, та игрушка почти в 2 раза больше и во столько же раз дешевле. Магазин мог бы обратить внимание и на отечественных производителей, а не только китайское продавать., ",False
21,"Подарили дочери на День рождения,эту игру.Ей 3 года очень нравится играть,думает,какой лучше кирпичик убрать,что бы не свалился кот,да и Родиьелям,очень зашла эта игра!Качество очень хорошее.Все кирпичи на месте,котик серого цвета.Рекомендую!, ",True
22,"Расстроилась. Специально покупала бренд,а не копии,которые дешевле в три (!!!) раза, уверена была на 100%,что переплачиваю за качество!А оказались квадратные,нескругленые и неотшлифованные брусочки,низкого качества и все в занозах!!!, ",False
23,"За данную стоимость просто отличная игра, ",True
24,"Игра интересная. Правила простые. Игровое время - примерно 30 минут. Из минусов - мой 5-летний ребёнок очень испугался главного зомби-босса. Хотя мультики про зомби он смотрел до этого спокойно. Пришлось эту игровую карточку уничтожить., ",True
25,"Крутая игрушка ) отличное качество печати, вариативное поле, не заскучать ), ",True
26,"Купили такую сыну 6 лет. Отличная игра. Я сама в такую играла 25 лет назад. Воспоминания из детства) , ",True
27,"Ужасное качество исполнения. Отвратительное. Нельзя использовать здесь ненормативную лексику, а ой как хочется. Скобы степлера, которыми крепятся ""сетки"" в лузах частично пристреляны мимо. Борта, сделанные из ДСП, местами в сколах, хотя это не влияет на игру, конечно. Сукно на бортах плохо натянуто, потому ждать какого-то хорошего отскока шаров от них не придётся. Посреди самого стола, в самом центре, огромное пятно почти с половину стола, очень хотелось бы думать, что это клей, которых сукно приклеили к фанере стола. Короче, поставил бы одну звезду, но подарок ребёнку всё равно нравится, играют со старшим братом. Дороже 500 рублей бы не купил. Да вообще бы не купил, если бы жена проверила на качтство при получении., ",False
28,"Интересная, веселая игра. Стала у детей 5,5 лет и 8 лет одной из любимых, ",True
29,"Чуть не развелись с мужем из-за этой игры😂😂Классная, на внимание, на скорость, концентрируется мозг максимально., ",True
30,"Игра нам очень понравилась, дети играли в нее у друзей ). Теперь мы хотим приобрести и себе такую=)! размеры вполне нормик ... ЖДЕМ ПОСТУПЛЕНИЯ И ПРИЕМЛЕМОЙ ЦЕНЫ. СКИДОК И АКЦИЙ :) !, ",True
31,"С игрой познакомились у друзей, сразу решили купить, т.к. дочке 5 летке очень понравилась. Тем более игра помогает  закрепить счет.К сожалению, нам попался брак, в запаянной в пакет коробке, и запаянных колодах при вскрытии не оказалось Королевы Собак. Вообще такого не ожидала. Карта важная, без неё некоторые правила невыполнимы. Ладно бы простой карты с цифрами.Расстроились сначала, но потом решила попробовать вернуть и приняли. Оформили брак производителя. Тут же заказала повторно игру, правда в другом магазине в надежде, что будет другая партия игры. И повезло! Сегодня забрала игру , все карты на месте)) Игра хорошая, но думаю играть все же интереснее от 3х человек., ",True
32,"Классная игра, очень понравилась. Взяли в розничном магазине вчера за 689?, ",True
33,"Отличная игра для детей дошкольного возраста, младшего школьного возраста. Ребёнок и мы играем с удовольствием. Все исправно работает. , ",True
34,"Игра очень интересная. Расскажу сначала: у дочки есть достаточно много настольных игр (6 лет), играть любит,  и вся детвора, что приходит в гости, с удовольствием играют во все игры.  На Новый год набрала много подарков для доченьки и случайно увидела эту игру с хорошей скидкой. Мне стало любопытно. Посмотрела обзор на сайте Игротека, там лучше чем везде рассказывается об игре, а главное правила, которые достаточно интересны и оригинальны(я бы точно не разобралась с первого раза!но с обзором было не сложно). Дети в таком восторге, вы бы знали, и взрослые не менее заинтересованы. Конечно, первое время лучше играть большой компанией и с родителями на подмоге, но как дети до конца все усвоят, помощь им точно не будет нужна. Теперь хотим взрослую игру Клюедо и другие подобные игры., ",True
35,"good. at 3- 6 old the liked it🧱, ",True
36,"Отличная игра. Дочка с 4-х лет играет с большим удовольствием, сама следит за ходом игры. Здорово, что игра командная, то есть нет одного победителя, а выигрывают все, когда ""поймают"" лиса. А так как это происходит почти всегда, от игры остаются положительные впечатления) Коробка плотная красивая, можно преподносить в качестве подарка., ",True
37,"Игра просто бомба! 👍👍Дети пока ещё не доросли до неё поэтому играли взрослые, смеялись до слез 😂, ",True
38,"Игру решил купить старший сын (16 лет), играли вчетвером всей семьей (+ младший 9лет). Игра понравилась. Правила понятные, было интересно и детям, и взрослым. Сразу поняли, что необходимо продумать систему записи на игровых листочках, чтобы максимально точно фиксировать факты и предположения по мере их появления. У кого точно нет, или может не быть определенной карточки. На карточках лучше аккуратно делать записи карандашом, чтобы можно было использовать их повторно. Или сразу сделать копий. Конечно, если планируете играть периодически. Можно было бы на сайте производителя выложить ссылку на файл с карточками для распечатки. Качество карточек, поля и игровых фишек - высокое. Кубики специализированные, одна грань отведена под игровой значок, поэтому лучше их не терять. Игра будет полезна детям для развития внимательности, логики, навыков анализа., ",True
39,"Сыну (8,5) очень понравилась игра, несмотря на то, что он играет и в более сложные настольные игры. Механика не такая простая, как в обычной бродилке с кубиком, но  и не такая сложная, чтобы можно было играть только в выходной, когда есть много свободного времени. Отличный выбор на будний вечер., ",True
40,"Подарили ребёнку на ДР! Специально брала с купюрами , чтобы ребёнок учился считать . Игра отличная , довольна вся семья ))), ",True
41,"Купила для сына, куда полезнее будет смартфонов! Сама тоже играю))) вспомнила молодость, эх), ",True
42,"Детям игра понравилась, но от любопытства решили вручную открыть глаза бабуле, теперь не закрываются., ",False
43,"Дочку 5 лет играет второй день постоянно. Заставляет по 10 раз подряд играть))) Я каждый раз пугаюсь от неожиданности, когда чернила вылетают) а она от этого хохочет))), ",True
44,"Очень затягивает… девочка Аня 37 годиков  довольна :) :), ",True
45,"Игра длится минут 15-20, никакого азарта. Заканчивается, когда выкупаются все участки, ",False
46,"Вопросов по доставке, получению заказа, и даже к упаковке не возникло, все идеально, но само качество товара, когда стали собирать игру, просто удручающее! Детали стенок поля сделаны из совершенно трухлявого дсп, при вкручивании шурупов сыпятся опилки, отверстия не совпадают, все сикось накось, торцы боковин поля отклеились, при этом еще собрали не до конца.., ",False
47,"Хорошее впечатление от игры, шайба действительно скользит по полю, для ребёнка 3 лет в самый раз! 
Мы довольны приобретением! , ",True
48,"Взрослые не смогли собрать , лежит и всех бесит 🤣, ",True
49,"Увлекательная игра. Ребенок в 4 года с удовольствием играет и без труда сопоставляет все необходимое.  Карточки правда тонковаты , хотелось бы чтоб были более износостойкими)))) Хорошая и удобная коробка для хранения! брала за 229 р по акции, считаю это ее цена., ",True
50,"Отличная игра,с декодером интереснее.Все очень качественное,игра на 3 часа не задерживается в отличие от обычной.И плюс самая дешёвая монополия в детском мире.Но нету шкатулки под деньги и карточки,да и вообще есть небольшое ощущение, то что за 1350 рублей,этого  всего маловато.А так остались довольны, очень красивая коробка., ",True
51,"Не покупайте он не стоит таких денег, клюшки бьют мимо шайбы, полы кривые, одно разочарование, ",False
52,"Почти то, что хотелось.Нет, поле выглядит красиво, все карточки на месте, фишки замечательные (медведь, матрёшка, балалайка). В качестве сувенира из России сгодится.Не очень понравились фотографии на некоторых полях городов.Во-первых, не на всех фото изображены самые главные достопримечательности городов. Я живу в Архангельске, но церковь с поля ""Архангельск"" никогда не видел и даже не представляю, где она находится. Есть подозрение, что где-то в Холмогорах, на родине Ломоносова, но это, простите, уже глубокая провинция, а никак не областной центр.Во-вторых, само качество. Обрезанные крыши и шпили зданий (Белгород, Ставрополь, Пермь), цветовая гамма. Особенно ""порадовал"" Омск с невнятной фотографией вокзала (видимо, отсылка к мему, что никто не может уехать из Омска). Всё-таки мне кажется, что для такой игры кадры должны выбираться и обрабатываться гораздо тщательнее.В-третьих, на многих фотографиях присутствует изображение религиозных строений, которые практически не имеют отношения к спецификации города или региона. И если мечеть Кул Шариф в Казани смотрится более или менее органично, то Пермь, Краснодар, Архангельск и Нижний Новгород славятся далеко не своими церквями и храмами...А так, в целом, хорошая игра. Давно мечтал о классической ""Монополии"" на тему России., ",True
53,"Подарили дочке на 5летие, почти каждый день играем в эту игру, ребёнок в восторге. Покупала по акции за 1299, цена и качество на высоте., ",True
54,"Здравствуйте. Общие впечатления самые положительные, игра из детства, только у нас был морской бой. Покупали сыну 4 года, но для него сложно. На упаковке написано от 7 лет, оно и верно. Надеюсь позже будет заинтересован. Но вот взрослые играли с удовольствием. Одно но, крышка от чемоданчика, если заденешь, то падает, соответственно фишки тоже, что неудобно для ребёнка. Поэтому минус одна звезда., ",True
55,"Красота, конечно, но разлетелась с первого же попадания на пол. Нечего ронять, скажете вы, и будете правы, но настолько нежные игрушки - это печально  , ",True
56,"Обалденная игра. Зависли на все выходные. Качество тоже отличное , ",True
57,"Супер! В классической Клуэдо и в многих настольных много возни с перемещением и бросками кубика. В этой кубик практически не нужен. Никто не будет никого зажимать в проходе из комнаты в комнату и прочего не нужного ""ходильно-бродильного"". Главное - ребенку девяти лет объяснил что есть в карточной колоде и чего в ней быть не может. Тут же закрепил это знание навыком поиска недостающих в колоде трех карт. Суть - три случайных карты (одно оружие, человек и комната) вслепую лежат в конверте, а ты создаешь ситуации в комнатах чтобы опросить игроков какие карты есть на руках. Каких трех нет - те в конверте, что первый понял методом исключения - победил. Правда и ложь там вообще считай сбоку, для декора и веселья. Рекомендую детям несмотря на жуткий сюжет. Я такие настольные игры не очень люблю, купил потому что фильм порекомендовали., ",True
58,"Отличная игра! Ничего не скользкое, прекрасно играем всей семьей, в том числе ребенок 5 лет. Все в восторге! Просто вынимать блоки не интересно, а вот вынимать игровые поля,  собирать комплекты, терять их, менять, выбивать, что бы комплекты не доставались другому ну, очень залипательно! Мы играем долго! Выталкиваем блоки, укрепляем башню и продолжаем играть! Очень рада, что не отказалась от игры по отзывам. Однозначно рекомендую эту шикарную башенку!, ",True
59,"Купили месяца 2 назад, играли раз 10 за все время. Начала шляпа ""тупить"", не запоминает, что купили. Поменяли батарейки, ничего не помогло! Покупали за три с лишним тысячи, очень жаль, что за такие деньги продают, такое не качественное ...., ",False
60,"Отличное лото. Купила за 360 руб. 
Карточки карточные, но если их проклеить скотчем с двух сторон, то становятся надёжнее - помять конечно можно, но порвать уже нет! 
Фишки деревянные, оптимального размера, гладкие, без острых углов. Картинки яркие.
Кто-то пишет, что животные повторяются, но они не идентичные. Так ведь в повторении есть плюс, так мы развиваем внимание ребенка, когда спрашиваем У КОГО КОРОВА именно С КОЛОКОЛЬЧИКОМ! А не просто ПЯТНИСТАЯ КОРОВА. Все повторения отличаются хоть чем-то.
Так что однозначно РЕКОМЕНДУЮ!
, ",True
61,"ребенок играл. дарили на день рождения 6лет., ",True
62,"Ручка хорошая, работает прекрасно. Много пластика, в коробке с ручкой ABS, а дополнительно, другой вид пластика PLA., ",True
63,"Игрушка очень хорошая, полезная для развития детей. Минус и очень не приятное впечатление оставило то, что не хватает одного персонажа (щеночка), видно брак. Менять не стала, так как кто поверит, что это не я его потеряла. , ",True
