review,assessment
" Игра пришла в целой упаковке. Картон со стрелочкой плотный, яркий. Стрелочка крутится отлично. Игровое поле из плотной плёнки. Кружочки на плёнки не стираются. После месяца почти ежедневного использования ничего не отвалилось, не порвалось. , ",1
" Увлекательная семейная игра! Играем третий месяц и радуемся, что наш выбор остановился именно на этой игре!, ",1
"Во первых игроки чисто синего и красного цвета, не так как на изображении, что на сайте, что на упаковке. Вводят в заблуждения.  Механический процесс игры ужасен. Во-первых,  все управляющие шарниры расположены под углом, то есть на выходе из хоккейной коробки полностью наружу, палки ударяются друг о друга, точнее руки мешают им управлять, абсолютно криво настолько, что органичной игры не получается. Во-вторых, что вратарь, что игроки повернуты только в одну сторону, ПРИЧЕМ ВСЕ!!!! То есть, защищая одну часть ворот, вратарь стоит задом и отбить достойно шайбу или вывести ее из края(угла) ворот не представляется возможном, дети сами себе постоянно забивают голы. Игроки на флангах тоже бьют задом, причем там клюшка совсем по другому выглядит и плохо управляется с шайбой. В углах поля есть мертвая зона, если шайба встает на ребро то клюшкой не зацепить.  Поле прогибается по напором резкой игры, просто вваливается. Руки оторвать тем, кто это придумал и по лицу. Ужас! Стыд! Сам из Советского Союза, есть с чем сравнить и у меня еще тогда был хоккей в разы лучше. Но технологии тогда и оборудование и сейчас, небо и земля. Из серии""Ракеты по космосам летают, а наш медведям пищалки пришивает"". Делают кустарно. Табло с ведением счета ""выколи глаз"" цифры цвет в цвет самой пластиковой полоски и настолько малы, что когда их двигаешь нужно вставать и всматриваться, чтобы не пролететь и вообще увидеть счет. Не рекомендую., ",0
"+красивая, качественная печать, качественые детали +нравится ребенку +кооперативная, т.е играешь в команде с ребенком, что плюс если ребенок остро реагирует на проигрыш кому-то +милый новогодний сюжет-нам выйграть получилось всего раза два из 15-не ясно как дойти до домика: нужно выкинуть выкинуть кубик с последними следом перед домиком? Если да, то елка собирается крайне быстро, тк четыре раза в конце выбросить конкретные следы нереально. Или по умолчанию если после фигурки больше нет следов как выпали на кубике то можно прыгать на домик? -нет смысла в пятой детали елки. Если автоматом выпала елка пятый раз то сразу наступает проигрыш и собирать эту деталь нет смысла. Мы придумали еще звезду, якобы гирлянда загорелась и наступил НГ, так и елка окончательно собрана и немного продлеваем игру., ",1
"13 летний подросток вторую неделю гадает с друзьями 😂🙏👍👍👍👍, ",1
"2-х летний ребенок справляется, ",1
"4 года - буквы вообще учить не хочет, ничем интерес не вызвать. Уже складывать цифры научились до 5, а буквы прям беда. Сели вчера и проиграли весь вечер в это лото. Фишки хорошие, карточек 7 штук и две из них фиолетовые. Думаю - ламинировать имеет смысл. Картон не слишком плотный, и замяться и порваться может., ",1
"Искала игру что бы играть с пятилеткой. Но половина карточек либо сложна, либо вообще ребенок не знает значение нарисованного. Зачем тогда ставить такое возрастное ограничение? Написали бы 7+ и игру бы купили ребенку по возрасту! Ведьма, мумия, рубин, юрта, фараон, викинг, щелкунчик, гладиатор, шут, вампир, коралл, компас, банк... И так далее. Словарный запас не по возрасту., ",0
"6 карточек, каждая про свой ареал обитания. Я была удивлена, что с детьми знали только животных России и животных Африки (2 карточки). Остальные звери не популярны. С детьми благодаря этому лото изучаем животных степи, Южной Америки и пр., ",1
"Азбука работает, понравилось что проговариваются и звуки и буквы., ",1
"К качеству исполнения игры вопросов нет, на высоте.
Но содержание а именно картинки, не понравились, мне показалось мрачным и где-то давящими на психику.
Не все картинки такие, но из 99 шт больше половины зубастые и мрачные, с синяками под глазами. Своему ребёнку однозначно не буду показывать. Были бы картинки добрее, может какието действия добрые были бы изображены. Посыл мне не понятен. Время все-же с ребёнком нужно проводить с пользой, здесь я её не вижу. , ",0
"Грустные, тревожные,печальные картинки. Тема войны, апокалипсиса, злые монстры. Игра отличная. Это наш второй набор. Но именно в него не хочется играть, тем более с ребёнком., ",0
"Хочу сказать,что такие игрушки были не только в советском детстве многих, но и теперь выпускаются Омским заводом электротоваров. Можно найти в интернете, та игрушка почти в 2 раза больше и во столько же раз дешевле. Магазин мог бы обратить внимание и на отечественных производителей, а не только китайское продавать., ",0
"Расстроилась. Специально покупала бренд,а не копии,которые дешевле в три (!!!) раза, уверена была на 100%,что переплачиваю за качество!А оказались квадратные,нескругленые и неотшлифованные брусочки,низкого качества и все в занозах!!!, ",0
"Азул — это та самая игрулька, куда мозги можно хорошенько размять. Это все про укладку кафельных плиток на дворцовом полу, только делай это красиво, словно настоящий мастер плиточник. Дело идет так: собрал крутой узор по-хитрому, подбирая плиточки красивого цвета, закончил строку — бац, и они перекочевали на твой игровой лист. Таки да, надо стратегию выстраивать, чекать что соперники намутили и стараться не дать им те самые шикарные комбинации. В коробке Азула ты найдешь эти самые плиточки — они такие яркие, глаз радует, да и на ощупь приятные. Для семейных посиделок или вечеров с друзьями, шикарный выбор. Короче, клади плиточку, считай очки и становись хозяином самого стильного настольного дворца!",1
"Акула сломалась на 2 день использования. Захлопывается сразу как только открываешь рот. Очень растроились, ",1
"Берите, не пожалеете! Играем вместе с сыном 4-х лет, интересно всем. Сын старается опередить нас, взрослых, это очень увлекательно. Игра на сообразительность и ловкость, 5 из 5!, ",1
