,review,assessment
0,"Вот действительно развивающая игра! Играли в стандартную дженгу, потом пошли строить всё на что фантазии хватило. Поняла что игрушки должны быть максимально простыми, чтобы детям было куда проявить свою фантазию., ",True
1,"Хороший способ научить детей играть в эту великолепную игру. Простые карточки, играли вчетвером: мама, папа, 12 и 6 лет. Маленькому чуть сложновато было, но постепенно понял суть. Конечно приходилось иногда подыгрывать. Теперь хотим карточки посложнее, так как это интереснее., ",True
2,"Игра простая и веселая, особенно интересно играть большой компанией.Странно, что никто про нее ничего не написал ещё...Суть игры:Всю колоду поровну раздают на всех участников, лицевую сторону закрывают рубашкой от жолтой карты и понеслась.Первый игрок достаёт карту и говорит ассоциацию с картинкой, например на картинке плюшевый медведь - ""это мягкое""… и все начинают искать у себя в карточках тоже что то мягкое на картинках, но искать нужно не раскладывая перед собой картинки, а зажав всю стопку в одной руке, пальцем другой руки пролистывпть карточки.Кто быстрее скинет карты, тот победитель., ",True
3,"Играем с первоклассником, ответы не все знает. Есть над чем работать ещё) Вопросы на разные темы, например: ""Сколько нужно отнять от 9, чтобы получилось 6?"", "" У белки-летяги есть крылья?"", ""Что изображено на гербе России?"", "" Как называются морские разбойники?"", ""Сколько всего цифр существует?"", "" При какой температуре закипает вода?"", ""Как назвать время 7:40 по-другому?"". Карточки вопросов разделены по уровням сложности и отличаются цветом, можно играть с более младшими детьми, убрав сложные вопросы., ",True
4,"К качеству исполнения игры вопросов нет, на высоте.
Но содержание а именно картинки, не понравились, мне показалось мрачным и где-то давящими на психику.
Не все картинки такие, но из 99 шт больше половины зубастые и мрачные, с синяками под глазами. Своему ребёнку однозначно не буду показывать. Были бы картинки добрее, может какието действия добрые были бы изображены. Посыл мне не понятен. Время все-же с ребёнком нужно проводить с пользой, здесь я её не вижу. , ",False
5,"Грустные, тревожные,печальные картинки. Тема войны, апокалипсиса, злые монстры. Игра отличная. Это наш второй набор. Но именно в него не хочется играть, тем более с ребёнком., ",False
6,"Подарили дочери на День рождения,эту игру.Ей 3 года очень нравится играть,думает,какой лучше кирпичик убрать,что бы не свалился кот,да и Родиьелям,очень зашла эта игра!Качество очень хорошее.Все кирпичи на месте,котик серого цвета.Рекомендую!, ",True
7,"Игра интересная. Правила простые. Игровое время - примерно 30 минут. Из минусов - мой 5-летний ребёнок очень испугался главного зомби-босса. Хотя мультики про зомби он смотрел до этого спокойно. Пришлось эту игровую карточку уничтожить., ",True
8,"Крутая игрушка ) отличное качество печати, вариативное поле, не заскучать ), ",True
9,"Интересная, веселая игра. Стала у детей 5,5 лет и 8 лет одной из любимых, ",True
10,"Чуть не развелись с мужем из-за этой игры😂😂Классная, на внимание, на скорость, концентрируется мозг максимально., ",True
11,"Классная игра, очень понравилась. Взяли в розничном магазине вчера за 689?, ",True
12,"Игра очень интересная. Расскажу сначала: у дочки есть достаточно много настольных игр (6 лет), играть любит,  и вся детвора, что приходит в гости, с удовольствием играют во все игры.  На Новый год набрала много подарков для доченьки и случайно увидела эту игру с хорошей скидкой. Мне стало любопытно. Посмотрела обзор на сайте Игротека, там лучше чем везде рассказывается об игре, а главное правила, которые достаточно интересны и оригинальны(я бы точно не разобралась с первого раза!но с обзором было не сложно). Дети в таком восторге, вы бы знали, и взрослые не менее заинтересованы. Конечно, первое время лучше играть большой компанией и с родителями на подмоге, но как дети до конца все усвоят, помощь им точно не будет нужна. Теперь хотим взрослую игру Клюедо и другие подобные игры., ",True
13,"Сыну (8,5) очень понравилась игра, несмотря на то, что он играет и в более сложные настольные игры. Механика не такая простая, как в обычной бродилке с кубиком, но  и не такая сложная, чтобы можно было играть только в выходной, когда есть много свободного времени. Отличный выбор на будний вечер., ",True
14,"Купила для сына, куда полезнее будет смартфонов! Сама тоже играю))) вспомнила молодость, эх), ",True
15,"Дочку 5 лет играет второй день постоянно. Заставляет по 10 раз подряд играть))) Я каждый раз пугаюсь от неожиданности, когда чернила вылетают) а она от этого хохочет))), ",True
16,"Отличная игра,с декодером интереснее.Все очень качественное,игра на 3 часа не задерживается в отличие от обычной.И плюс самая дешёвая монополия в детском мире.Но нету шкатулки под деньги и карточки,да и вообще есть небольшое ощущение, то что за 1350 рублей,этого  всего маловато.А так остались довольны, очень красивая коробка., ",True
