,review,assessment
0,"Покупали для 5летнего ребенка.Пока до полной победы/поражения усидеть не может. В целом задумка неплохая,но есть и недочеты,о которых здесь много уже написано,но производителем не читается)). Слабо закрепляются фишки в полях,если вы придерживаете рукой нижнее поле,то белые/красные фишки могут вылететь(нужно бы двойное дно),с верхнего поля тоже вылетают,чуть пошевелишь чемоданчик.Плохо видны цифры и буквы.Мелкие фишки не считаю недостатком-тренируется мелкая моторика,в том числе и у взрослых., ",True
1,"Хороший способ научить детей играть в эту великолепную игру. Простые карточки, играли вчетвером: мама, папа, 12 и 6 лет. Маленькому чуть сложновато было, но постепенно понял суть. Конечно приходилось иногда подыгрывать. Теперь хотим карточки посложнее, так как это интереснее., ",True
2,"Купила, чтобы поиграть вечерком. Пока разобрались, пока поиграли и получили потрясные эмоции, на часах оказалась полночь? играли всей семьей(деткам 4,5 года). Вроде были заинтересованы, но боюсь, что они не совсем понимали, что происходит? Нам понравилось, ставлю твердую 5, ",True
3,"Играем с первоклассником, ответы не все знает. Есть над чем работать ещё) Вопросы на разные темы, например: ""Сколько нужно отнять от 9, чтобы получилось 6?"", "" У белки-летяги есть крылья?"", ""Что изображено на гербе России?"", "" Как называются морские разбойники?"", ""Сколько всего цифр существует?"", "" При какой температуре закипает вода?"", ""Как назвать время 7:40 по-другому?"". Карточки вопросов разделены по уровням сложности и отличаются цветом, можно играть с более младшими детьми, убрав сложные вопросы., ",True
4,"Очень понравилась игра. Ребенку 6 лет интересно играть, взрослым - тоже! Это отличная возможность провести время вместе с ребенком и чтобы всем было интересно и весело. Здорово развивает образное мышление, а ещё сближает) мы в восторге. Большой плюс, что партия длится не очень долго. У нас ушло минут 20. Это очень удобно, ",True
5,"К качеству исполнения игры вопросов нет, на высоте.
Но содержание а именно картинки, не понравились, мне показалось мрачным и где-то давящими на психику.
Не все картинки такие, но из 99 шт больше половины зубастые и мрачные, с синяками под глазами. Своему ребёнку однозначно не буду показывать. Были бы картинки добрее, может какието действия добрые были бы изображены. Посыл мне не понятен. Время все-же с ребёнком нужно проводить с пользой, здесь я её не вижу. , ",False
6,"Грустные, тревожные,печальные картинки. Тема войны, апокалипсиса, злые монстры. Игра отличная. Это наш второй набор. Но именно в него не хочется играть, тем более с ребёнком., ",False
7,"Игра очень интересная. Расскажу сначала: у дочки есть достаточно много настольных игр (6 лет), играть любит,  и вся детвора, что приходит в гости, с удовольствием играют во все игры.  На Новый год набрала много подарков для доченьки и случайно увидела эту игру с хорошей скидкой. Мне стало любопытно. Посмотрела обзор на сайте Игротека, там лучше чем везде рассказывается об игре, а главное правила, которые достаточно интересны и оригинальны(я бы точно не разобралась с первого раза!но с обзором было не сложно). Дети в таком восторге, вы бы знали, и взрослые не менее заинтересованы. Конечно, первое время лучше играть большой компанией и с родителями на подмоге, но как дети до конца все усвоят, помощь им точно не будет нужна. Теперь хотим взрослую игру Клюедо и другие подобные игры., ",True
8,"good. at 3- 6 old the liked it🧱, ",True
9,"Купила для сына, куда полезнее будет смартфонов! Сама тоже играю))) вспомнила молодость, эх), ",True
